year,Country Type,Country/City,"Average National Exam Score: Junior Secondary Level (out of 100, available only in district level for 2009)","Average National Exam Score: Primary Level (out of 100, available only in district level for 2009)","Average National Exam Score: Senior Secondary Level (out of 100, available only in district level for 2009)",Education function expenditure (in IDR),Human Development Index,Monthly Per Capita Household Education Expenditure (in IDR),Net Enrollment Ratio: Junior Secondary (in %),Net Enrollment Ratio: Primary (in %),Net Enrollment Ratio: Senior Secondary (in %),Number of schools at junior secondary level,Number of schools at primary level,Number of schools at Senior Secondary level,"Number of Student: Junior Secondary Level (in number of people, 2009 data only)","Number of Student: Primary Level (in number of people, 2009 data only)","Number of Student: Senior Secondary Level (in number of people, 2009 data only)","Number of Teacher: Junior Secondary Level (in number of people, 2009 data only)","Number of Teacher: Primary Level (in number of people, 2009 data only)","Number of Teacher: Senior Secondary Level (in number of people, 2009 data only)",Total Specific Allocation Grant for Education (in IDR Billion)
1976,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Kab,Aceh Barat Daya,0.0,0.0,0.0,40182126147.0,0.0,0.0,0.0,0.0,0.0,16.0,117.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.415
2004,Kab,Aceh Barat Daya,0.0,0.0,0.0,42658830717.0,65.87778,5233.0,74.33,94.65,54.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
2005,Kab,Aceh Barat Daya,0.0,0.0,0.0,45359654599.0,66.86649,0.0,0.0,0.0,0.0,22.0,120.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15
2006,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,67.52173,8260.0,69.13,94.89,52.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64
2007,Kab,Aceh Barat Daya,0.0,0.0,0.0,90638481000.0,68.3666099999999,5074.0,76.70999999999991,94.34,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.286
2008,Kab,Aceh Barat Daya,0.0,0.0,0.0,95150000000.0,69.38033,0.0,80.7,96.21,62.9,12.0,66.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.597000000000001
2009,Kab,Aceh Barat Daya,67.64554,61.56551999999999,72.09081,125255882154.0,0.0,8001.0,65.59,96.55,65.55,0.0,0.0,0.0,778.0,17456.0,632.0,384.0,1565.0,332.0,12.597000000000001
2010,Kab,Aceh Barat Daya,0.0,0.0,0.0,122754476843.0,0.0,6736.0,75.62,98.31999999999991,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Kab,Aceh Barat Daya,0.0,0.0,0.0,136254826188.0,70.95,14428.0,68.52,86.16,65.99,29.0,125.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Kab,Aceh Barat Daya,0.0,0.0,0.0,150800000000.0,0.0,17873.0,78.25,90.96,60.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,72.07,18515.55,87.201385,95.39505799999999,63.46043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,20953.34,87.02,97.03,72.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,89.91,97.16,69.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,82.75,97.1,75.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 45,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,711.0,49.57,89.18,18.62,79.0,455.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,1087.0,53.85,88.71,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,1163.0,42.42,90.57,24.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,1869.0,50.9,90.38,25.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,397.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,Kab,Aceh Barat,0.0,0.0,0.0,14835000442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Kab,Aceh Barat,0.0,0.0,0.0,51521807849.0,0.0,5092.0,76.44,93.51,55.92,18.0,138.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
2004,Kab,Aceh Barat,0.0,0.0,0.0,0.0,66.67713,4759.0,71.34999999999991,91.74,53.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
2005,Kab,Aceh Barat,0.0,0.0,0.0,0.0,67.4358,0.0,0.0,0.0,0.0,28.0,151.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52
2006,Kab,Aceh Barat,0.0,0.0,0.0,78992953877.0,68.08009,5734.0,73.19,93.59999999999991,56.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85
2007,Kab,Aceh Barat,0.0,0.0,0.0,114820643420.0,69.2812299999999,12535.0,73.0,96.34,60.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.981
2008,Kab,Aceh Barat,0.0,0.0,0.0,134700000000.0,69.66319,0.0,61.91,94.97,65.52,15.0,56.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.352
2009,Kab,Aceh Barat,73.78395999999991,74.23633000000001,69.58096,157788929270.0,0.0,18242.0,79.4,93.78,65.66,0.0,0.0,0.0,1184.0,27473.0,641.0,418.0,1268.0,340.0,15.083
2010,Kab,Aceh Barat,0.0,0.0,0.0,174086215667.0,0.0,19262.0,74.69,95.9,69.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Kab,Aceh Barat,0.0,0.0,0.0,207233491527.0,71.2,24486.0,73.52,93.31999999999991,70.41,52.0,184.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Kab,Aceh Barat,0.0,0.0,0.0,234400000000.0,0.0,21571.0,79.22,94.69,67.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Kab,Aceh Barat,0.0,0.0,0.0,0.0,72.24,22632.42,77.846069,99.302559,71.44487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,25553.44,82.33,99.75,73.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,95.45,100.0,77.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,85.89,95.76,75.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 45,Kab,Aceh Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,1902.0,77.34,95.95,40.74,118.0,772.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,2035.0,76.53,94.09,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,4724.0,64.74,92.66,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,4503.0,64.15,97.19,49.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,271.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,Kab,Aceh Besar,0.0,0.0,0.0,8363671660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,10169.0,87.24,98.62,60.26,63.0,270.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
2004,Kab,Aceh Besar,0.0,0.0,0.0,120950039667.0,70.60681,8166.0,84.33,96.67,74.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
2005,Kab,Aceh Besar,0.0,0.0,0.0,125364712082.0,71.37209,0.0,0.0,0.0,0.0,51.0,196.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28
2006,Kab,Aceh Besar,0.0,0.0,0.0,157349006926.0,71.87327999999991,13083.0,78.84,95.65,55.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28999999999999
2007,Kab,Aceh Besar,0.0,0.0,0.0,182583270683.0,72.71099,12493.0,79.98,93.91,62.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.533
2008,Kab,Aceh Besar,0.0,0.0,0.0,198300000000.0,72.84061,0.0,82.91,93.23,70.13,57.0,199.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,14.731
2009,Kab,Aceh Besar,73.64157,60.191069999999996,72.87963,208839626646.0,0.0,28738.0,81.3,98.79,64.3499999999999,0.0,0.0,0.0,4235.0,36475.0,4712.0,840.0,1483.0,749.0,15.554
2010,Kab,Aceh Besar,0.0,0.0,0.0,246584374890.0,0.0,20814.0,72.65,96.86,61.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Kab,Aceh Besar,0.0,0.0,0.0,276748966152.0,73.83,19961.0,79.53,93.48,63.8,78.0,250.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Kab,Aceh Besar,0.0,0.0,0.0,322000000000.0,0.0,29353.0,82.24,95.6,57.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Kab,Aceh Besar,0.0,0.0,0.0,0.0,74.51,23367.64,80.066895,98.737762,62.734253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,23051.66,84.78,98.7,74.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,87.95,98.76,71.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,79.44,97.61,66.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 45,Kab,Aceh Besar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Kab,Aceh Jaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
