year,Country Type,Country/City,Agriculture function expenditure (in IDR),Capital expenditure (in IDR),Economy function expenditure (in IDR),Education function expenditure (in IDR),Environment function expenditure (in IDR),General administration function expenditure (in IDR),Goods and services expenditure (in IDR),Health function expenditure (in IDR),Household per capita expenditure (in IDR),Housing and public facilities function expenditure (in IDR),Others expenditure (in IDR),Personnel expenditure (in IDR),"Public, law and order function expenditure (in IDR)",Religious function expenditure (in IDR),Social protection function expenditure (in IDR),Total Expenditure (in IDR),Total GDP based on expenditure (in IDR Million),Tourism and culture function expenditure (in IDR)
2003,Kab,Aceh Barat Daya,3121100697.0,22099919401.0,1972267468.0,40182126147.0,1318003170.0,39478874066.0,18635363494.0,3950034226.0,0.0,0.0,11694561561.0,47690461643.0,0.0,0.0,1266350600.0,100120306099.0,0.0,716387270.0
2004,Kab,Aceh Barat Daya,5224109648.0,26010560515.0,2476808633.0,42658830717.0,1835443858.0,53628009268.0,29781789205.0,7075179833.0,164727.0,0.0,17159725750.0,55738095537.0,0.0,0.0,1542925819.0,128690171007.0,0.0,1240449607.0
2005,Kab,Aceh Barat Daya,11313686423.0,32612718322.0,2662336042.0,45359654599.0,1632594943.0,59548152336.0,39217736546.0,7911680901.0,0.0,0.0,19334804549.0,56600289893.0,0.0,0.0,5640361259.0,147765549310.0,0.0,1220179904.0
2006,Kab,Aceh Barat Daya,0.0,94577224672.0,0.0,0.0,0.0,272112936775.0,76154407083.0,0.0,248217.0,0.0,24110782741.0,77270522279.0,0.0,0.0,0.0,272112936775.0,0.0,0.0
2008,Kab,Aceh Barat Daya,30143754136.14,80110780058.0,4133009702.93,95148215405.43,2188159036.16,118162678950.55,93049607523.0,31353070688.41,0.0,0.0,8064331522.0,158783521361.0,2413320362.39,0.0,2680859308.23,398790226065.0,0.0,0.0
2010,Kab,Aceh Barat Daya,18828350565.0,70133350623.0,6920317847.0,122754476843.0,2413634171.0,98923143800.0,44347144313.0,34445015806.0,356720.0,0.0,22088121218.0,190846175063.0,3034795704.0,0.0,2153790868.0,327414791217.0,0.0,0.0
2011,Kab,Aceh Barat Daya,24569301732.0,86407424410.0,11784368882.0,136254826188.0,2489677691.0,107447247531.0,57851328161.0,34913022772.0,428411.0,0.0,32252557274.0,207575997961.0,5549858352.0,0.0,2142086958.0,384087307806.0,0.0,0.0
2012,Kab,Aceh Barat Daya,47812412504.0,130694000000.0,13456002803.0,150765522074.0,3359627398.0,146514701048.0,91089921016.0,67657837661.0,434783.0,0.0,32193078984.0,265978000000.0,6648817037.0,0.0,3371781750.0,519955000000.0,0.0,0.0
2001,Kab,Aceh Barat,11004500440.0,49059825938.0,8283100015.0,14835000442.0,2009410550.0,0.0,35178298825.0,5121000697.0,0.0,5732000759.0,22213997901.0,109867877592.0,1400000157.0,3001000915.0,0.0,216320000257.0,0.0,285000550.0
2003,Kab,Aceh Barat,5402838545.0,39517340174.0,6871954062.0,51521807849.0,1941993865.0,0.0,16084260743.0,12128659559.0,189390.0,0.0,19338809036.0,85371024331.0,0.0,0.0,0.0,160311434284.0,0.0,0.0
2006,Kab,Aceh Barat,11274427716.0,81568263512.0,14870823900.0,78992953877.0,3313009862.0,0.0,48900436178.0,25102208136.0,324853.0,0.0,175850000.0,162908547835.0,0.0,0.0,4622923726.0,293553097525.0,0.0,0.0
2008,Kab,Aceh Barat,25968576188.14,93584417000.0,9581562698.47,134671841688.28,7146088184.52,142411942644.43,60511660336.0,49816251827.39,0.0,0.0,41476582775.0,241059232210.0,0.0,0.0,5156912713.0,496898196167.0,0.0,0.0
2010,Kab,Aceh Barat,21718679525.0,86820639885.0,5931800955.0,174086215667.0,5773668579.0,132706991277.0,56265372852.0,57367188303.0,622184.0,0.0,44388315103.0,297309525392.0,6121291699.0,0.0,7010719473.0,484783853232.0,0.0,1776414029.0
2011,Kab,Aceh Barat,25444929802.0,71513741975.0,5414619575.0,207233491527.0,6406275867.0,128058335247.0,56518055448.0,54509990515.0,540932.0,2645770838.0,40917037293.0,332235487143.0,6214077313.0,0.0,12368744474.0,501184321859.0,0.0,45000000.0
2012,Kab,Aceh Barat,30896978366.0,54587910547.0,7815013892.0,234386775987.0,7495103867.0,153371006940.0,60897349629.0,68106988150.0,638680.0,2373804391.0,49252328987.0,398959000000.0,7531815362.0,0.0,13141827406.0,563696589163.0,0.0,104578480.0
2001,Kab,Aceh Besar,4659866770.0,65314917862.0,7538346944.0,8363671660.0,396600000.0,0.0,24996200458.0,2997500483.0,0.0,28843334431.0,8152656291.0,111186626660.0,163685000.0,2028082000.0,0.0,209650401270.0,0.0,419800000.0
2004,Kab,Aceh Besar,14340110101.0,43008777887.0,4219122835.0,120950039667.0,342122958.0,0.0,39778856645.0,18796736596.0,175002.0,0.0,24055969085.0,160845186037.0,0.0,0.0,808138051.0,267688789654.0,0.0,978622182.0
2005,Kab,Aceh Besar,14638649801.0,19897871383.0,3918394621.0,125364712082.0,386285948.0,0.0,40617583192.0,24954348279.0,0.0,0.0,30811942344.0,176711679632.0,0.0,0.0,2310387253.0,268039076551.0,0.0,1345766137.0
2006,Kab,Aceh Besar,40277258347.0,76799128707.0,10634136472.0,157349006926.0,1357728669.0,0.0,101533599431.0,33196953840.0,335333.0,0.0,36539191050.0,217304444136.0,0.0,0.0,5002066989.0,432176363324.0,0.0,2057664922.0
2007,Kab,Aceh Besar,39812999039.0,115596468421.0,12650571539.0,182583270683.0,2118049776.0,143858209728.0,58579472545.0,55104561702.0,333557.0,0.0,42552235100.0,280751912628.0,2716927164.0,0.0,3424568831.0,497480088694.0,0.0,3570928030.0
2008,Kab,Aceh Besar,38113936882.0,98085845061.0,10751802946.05,198322225542.45,2967767310.25,166490999300.73,72912118974.0,65862194050.51,0.0,0.0,62131135000.0,311463269863.0,2764300275.39,0.0,3701750081.19,610563757368.0,0.0,3556192116.68
2009,Kab,Aceh Besar,39564503142.0,108867747224.0,16091944831.0,208839626646.0,3621796142.0,165780063257.0,66466918473.0,65684996531.0,488503.0,0.0,71885143705.0,360606134895.0,8256587214.0,0.0,0.0,607825944297.0,0.0,6409388872.0
2010,Kab,Aceh Besar,38452633656.0,84241247144.0,8213044358.0,246584374890.0,3046671396.0,155982399097.0,63707082069.0,67734895548.0,576911.0,1967337000.0,58115624992.0,399850634922.0,5787575195.0,0.0,10112532703.0,605914589127.0,0.0,3283736458.0
2011,Kab,Aceh Besar,40670944424.0,92447091888.0,10312879038.0,276748966152.0,3844631674.0,178091255662.0,82287503292.0,76645352401.0,634162.0,91418300.0,77501834326.0,432955574693.0,6824452893.0,0.0,2516535025.0,685192004199.0,0.0,3459758139.0
2012,Kab,Aceh Besar,49829137983.0,73494554671.0,11183452612.0,322021098267.0,4698667409.0,210702733968.0,108648000000.0,88564296948.0,713185.0,256922678.0,64344047451.0,513418000000.0,7436526893.0,0.0,3441301202.0,759904602122.0,0.0,3403446271.0
2006,Kab,Aceh Jaya,0.0,43103669790.0,0.0,0.0,0.0,137792439472.0,37057810377.0,0.0,338592.0,0.0,12026242585.0,45604716720.0,0.0,0.0,0.0,137792439472.0,0.0,0.0
2008,Kab,Aceh Jaya,34132418492.22,169102070366.0,2689245784.03,68761717684.11,0.0,137916240636.88,56283578959.0,26163902369.49,0.0,0.0,34440284454.0,120649538291.0,0.0,0.0,4446334706.9,493377315263.0,0.0,0.0
2010,Kab,Aceh Jaya,21928779349.0,131782418831.0,2617727846.0,85547453533.0,3361631576.0,123624830436.0,42450246747.0,30806092693.0,477187.0,3617233798.0,41958626865.0,173128285795.0,4053932214.0,0.0,6186188466.0,389319578238.0,0.0,2592688236.0
2011,Kab,Aceh Jaya,27033908186.0,126152409106.0,4126525334.0,119510545026.0,3741233897.0,117806030202.0,38978539249.0,34320193560.0,629547.0,3658042506.0,43607430616.0,204825078323.0,4366401740.0,0.0,8050983686.0,413563457294.0,0.0,1381549963.0
2012,Kab,Aceh Jaya,26845106334.0,89854464255.0,4736102659.0,118649246586.0,4256159318.0,117605974423.0,47916027948.0,38281215812.0,709233.0,9494383536.0,35021507797.0,236158000000.0,4584811786.0,0.0,15832369016.0,408950000000.0,0.0,1323716534.0
2001,Kab,Aceh Selatan,7864782391.0,41012245500.0,9974476400.0,6566587455.0,534475400.0,0.0,34031689754.0,5892932417.0,0.0,14936223100.0,8471575318.0,94179722830.0,314950000.0,2904714468.0,0.0,177695233402.0,0.0,191850000.0
2004,Kab,Aceh Selatan,7788809270.0,33836089223.0,6820483894.0,81281470216.0,909734091.0,0.0,47867257183.0,11986647445.0,170027.0,356061727.0,28603706976.0,102779055280.0,0.0,0.0,692854250.0,213086108662.0,0.0,0.0
2005,Kab,Aceh Selatan,9044217898.0,26379615320.0,7585293215.0,69282315886.0,1063127621.0,0.0,52909383105.0,12673763461.0,0.0,406836911.0,27623811230.0,106013788666.0,0.0,0.0,2045983578.0,212926598321.0,0.0,0.0
2006,Kab,Aceh Selatan,19069908234.0,48634659319.0,9312052267.0,86381160062.0,2554152773.0,0.0,68196126417.0,20450445454.0,242250.0,796510095.0,26771869559.0,136851631205.0,0.0,0.0,3424523162.0,280454286500.0,0.0,0.0
2007,Kab,Aceh Selatan,32613942298.0,133500003095.0,16489207968.0,122081357072.0,5315739525.0,175109443565.0,55494245403.0,43448054296.0,279418.0,0.0,62569257047.0,202013170581.0,2945697379.0,0.0,4592539775.0,453576676126.0,0.0,2157774528.0
2008,Kab,Aceh Selatan,22986718603.18,106417635654.0,15914076278.93,127685799502.39,3817275700.8,190120275991.07,67559269817.0,50061035221.83,0.0,0.0,54148584748.0,245671254699.0,2983740432.87,0.0,5310429857.79,581393087950.0,0.0,2766456964.06
2009,Kab,Aceh Selatan,23502279072.0,53688816287.0,6758963100.0,156362873200.0,2616269000.0,180585560036.0,55207983631.0,48623369490.0,413656.0,0.0,60695346920.0,275707112202.0,3411098000.0,0.0,4050215000.0,445299259040.0,0.0,3805305800.0
2010,Kab,Aceh Selatan,24120349948.0,77052070946.0,7442144312.0,189370594545.0,3030434877.0,146617417272.0,51706822071.0,47973446270.0,480874.0,0.0,42773195044.0,306875199614.0,4330593576.0,0.0,3170447642.0,478407287675.0,0.0,3030321410.0
2011,Kab,Aceh Selatan,30810861867.0,54509794947.0,9663501266.0,226203751013.0,3776358988.0,178156818404.0,74299398073.0,56136885118.0,460816.0,0.0,41167331610.0,375954841845.0,6238946958.0,0.0,3484367054.0,545931366475.0,0.0,3293814876.0
2012,Kab,Aceh Selatan,32921388689.0,74840849911.0,10862349005.0,260045690823.0,3634273855.0,168401389110.0,68744475323.0,75649722193.0,491492.0,0.0,27857674766.0,441357000000.0,7772772130.0,0.0,5810227413.0,612800000000.0,0.0,4599839652.0
2001,Kab,Aceh Singkil,5935426000.0,57564706366.0,7642250061.0,13769669100.0,640500000.0,48566865339.0,34142188712.0,4425025000.0,0.0,15422269000.0,3503730000.0,36131064922.0,208799000.0,2883505000.0,885500000.0,131341690000.0,0.0,1557350000.0
2005,Kab,Aceh Singkil,11223214713.0,45541703539.0,1714767634.0,16999885164.0,12329864806.0,105405560793.0,44015208547.0,8134360110.0,0.0,9621025737.0,25142354150.0,63111860958.0,0.0,0.0,3068632770.0,177811127194.0,0.0,933410379.0
2006,Kab,Aceh Singkil,0.0,61094396031.0,0.0,0.0,0.0,264842027607.0,79063209917.0,0.0,245940.0,0.0,27013736635.0,97670685024.0,0.0,0.0,0.0,264842027607.0,0.0,0.0
2007,Kab,Aceh Singkil,35907207204.0,122501815456.0,9130691998.0,75283749978.0,28373129342.0,129694984567.0,59069693288.0,32075412011.0,280498.0,16891366081.0,22010287624.0,147459101303.0,2428382544.0,0.0,2048937105.0,351040897671.0,0.0,5346946260.0
2008,Kab,Aceh Singkil,31366693234.87,83437025412.0,6006773198.86,61649110245.16,2980195375.76,106163901463.08,60279467806.0,27762655881.61,0.0,0.0,20558402700.0,118396838364.0,3321182229.44,0.0,4644314421.93,342173791335.0,0.0,3772857107.12
2010,Kab,Aceh Singkil,33702189367.0,59863938748.0,6782351610.0,76839274651.0,3899615162.0,116587141136.0,57223470274.0,41983830711.0,481655.0,0.0,30228424402.0,163681977854.0,5742125057.0,0.0,6433160903.0,310997811278.0,0.0,3132261880.0
2011,Kab,Aceh Singkil,32393540072.0,101974969262.0,6129351058.0,92243236491.0,4174952544.0,140612666437.0,73306655011.0,43487254292.0,464347.0,0.0,38397521340.0,195100535007.0,8804414469.0,0.0,7089620444.0,408779680620.0,0.0,4529063214.0
2012,Kab,Aceh Singkil,36847842014.0,70451493058.0,7476987189.0,107433216938.0,4208942735.0,133090719334.0,69022882080.0,55603082540.0,522848.0,0.0,32661784357.0,228088000000.0,10187707164.0,0.0,7832172123.0,400224159495.0,0.0,6289914144.0
2003,Kab,Aceh Tamiang,755816252.0,15510206750.0,0.0,48494797924.0,0.0,37943199434.0,23218256153.0,7712543396.0,0.0,0.0,7094929851.0,58988975355.0,0.0,0.0,1839540500.0,104812368109.0,0.0,0.0
2004,Kab,Aceh Tamiang,7732785813.0,34582591701.0,1021415182.0,56496354429.0,0.0,59179885046.0,39523625358.0,13013152641.0,164651.0,0.0,17668145047.0,71591778232.0,0.0,0.0,4801584000.0,163366140338.0,0.0,0.0
2005,Kab,Aceh Tamiang,10446487249.0,42599759353.0,1739623970.0,58061129815.0,0.0,82272026784.0,65129688908.0,14612812790.0,0.0,0.0,18021694318.0,75642553956.0,0.0,0.0,0.0,201393696535.0,0.0,0.0
2006,Kab,Aceh Tamiang,0.0,51396429852.0,0.0,0.0,0.0,222474432959.0,51942189939.0,0.0,273397.0,0.0,27910043000.0,91225770168.0,0.0,0.0,0.0,222474432959.0,0.0,0.0
2008,Kab,Aceh Tamiang,15936759720.12,137510088983.0,11727377139.33,132208347196.44,6228836829.12,170398155443.25,127681075209.0,39678160160.15,0.0,0.0,51967133550.0,200603438073.0,6624049432.06,0.0,986027091.24,582929532631.0,0.0,0.0
2010,Kab,Aceh Tamiang,18250829634.0,53559867760.0,5270343915.0,154317708298.0,7754926715.0,166696495146.0,78522623329.0,49901498078.0,465908.0,0.0,38793326806.0,266701491990.0,5976223952.0,0.0,3681876683.0,437577309885.0,0.0,3330784193.0
2011,Kab,Aceh Tamiang,24980293747.0,81438421514.0,6840260012.0,196147449293.0,9955415965.0,163173549910.0,93802097828.0,45192648846.0,521547.0,0.0,45458516828.0,303606387082.0,7085093319.0,0.0,5384564538.0,524305423252.0,0.0,1643921254.0
2012,Kab,Aceh Tamiang,33196663369.0,60242039597.0,7689722392.0,213476130691.0,11902408039.0,178993379668.0,118668000000.0,52668541849.0,497488.0,0.0,46686960403.0,339948000000.0,11474596108.0,0.0,6099247817.0,565545000000.0,0.0,4705654949.0
2001,Kab,Aceh Tengah,6347744392.0,61982047537.0,6214164782.0,71255928259.0,4062592716.0,0.0,37484336863.0,12429784773.0,0.0,8639102310.0,8521867481.0,99618729826.0,409971000.0,2208144673.0,5984418821.0,207606981707.0,0.0,2619294201.0
2002,Kab,Aceh Tengah,6862213066.0,69749305578.0,5939410109.0,80951753404.0,6711304789.0,0.0,44988320664.0,12479818662.0,0.0,19566862408.0,13871845325.0,98248818028.0,892392250.0,2127356000.0,4013822006.0,226858289596.0,0.0,1813722985.0
2003,Kab,Aceh Tengah,9239775726.0,52851369701.0,4520843795.0,94430955688.0,3168074618.0,0.0,73014294735.0,15970190347.0,183412.0,0.0,23672020871.0,115140045047.0,0.0,0.0,1130799320.0,264677730354.0,0.0,1533451184.0
2005,Kab,Aceh Tengah,7371487614.0,37300542979.0,2761768449.0,68046793431.0,2491455434.0,0.0,43438578489.0,15098116339.0,0.0,0.0,31721838122.0,94880696641.0,0.0,0.0,2500953212.0,207341656231.0,0.0,0.0
2006,Kab,Aceh Tengah,18105791486.0,82176956805.0,4017837757.0,91369238225.0,3873320663.0,0.0,59711456373.0,26181422409.0,285752.0,0.0,51140894073.0,125856565973.0,0.0,0.0,3997926961.0,318885873224.0,0.0,0.0
2007,Kab,Aceh Tengah,25585379008.0,115538824490.0,8278756644.0,135043510521.0,5444980860.0,139641724155.0,56579516966.0,47274442587.0,319723.0,0.0,43986854947.0,201224206804.0,3159749524.0,0.0,5969875276.0,417329403207.0,0.0,0.0
2008,Kab,Aceh Tengah,26701637966.19,108111645790.0,8874090340.55,130646527437.73,7926517025.02,159662544321.38,59133768740.0,49157199493.03,0.0,0.0,42621818465.0,234296761825.0,2988506231.64,0.0,5477970660.32,519650669599.0,0.0,0.0
2009,Kab,Aceh Tengah,25027211309.0,97076707775.0,4132689758.0,159057554716.0,6484095038.0,159934281335.0,66127860285.0,52004170447.0,509453.0,0.0,53813714052.0,261176555435.0,8473017903.0,0.0,3735784334.0,478194837547.0,0.0,0.0
2010,Kab,Aceh Tengah,22257043163.0,99596897031.0,5220598593.0,169332883581.0,7624929709.0,137262440617.0,59749546268.0,60646527425.0,572561.0,0.0,38971196847.0,276492789609.0,6135616000.0,0.0,3857283026.0,474810429755.0,0.0,3655753729.0
2011,Kab,Aceh Tengah,30064180183.0,134326449168.0,4353836064.0,217055277617.0,7216099658.0,159914920777.0,71261128335.0,67525209254.0,615210.0,0.0,52669661055.0,351116427708.0,6024834778.0,0.0,9501983095.0,609373666266.0,0.0,5420885288.0
2012,Kab,Aceh Tengah,27716501247.0,134531000000.0,8281374708.0,241015128218.0,9646105812.0,157639245708.0,73827697287.0,100903664565.0,671565.0,898068244.0,47689302713.0,397389000000.0,8015061395.0,0.0,9058084225.0,653437000000.0,0.0,4103945311.0
2001,Kab,Aceh Tenggara,5562355245.0,40011085435.0,19356112420.0,46503591812.0,2380000000.0,0.0,36047646580.0,8766339992.0,0.0,5740475393.0,5636733200.0,71147358154.0,1221587715.0,1417771500.0,3612500000.0,152842823370.0,0.0,1150193789.0
2002,Kab,Aceh Tenggara,6509720053.0,59853144424.0,14052734724.0,72277020716.0,3001844784.0,0.0,49063528535.0,14078125237.0,0.0,8266006491.0,8836823335.0,87616642326.0,1534493121.0,1382468500.0,5116346801.0,205370138620.0,0.0,1432393837.0
2003,Kab,Aceh Tenggara,5359336584.0,43343499256.0,5110938305.0,55048169244.0,2546884307.0,0.0,31009442582.0,8742740336.0,163875.0,0.0,22315380350.0,78360320542.0,0.0,0.0,369189490.0,175028642730.0,0.0,1134479256.0
2004,Kab,Aceh Tenggara,6691098306.0,32170369885.0,2461751220.0,67449305875.0,1992196200.0,0.0,35251378893.0,11820048681.0,146628.0,0.0,20903092500.0,94157311879.0,0.0,0.0,322678598.0,182482153157.0,0.0,1147077657.0
2005,Kab,Aceh Tenggara,11614086746.0,32521511546.0,3596206206.0,67822053371.0,2946562177.0,0.0,48099992085.0,10110366391.0,0.0,0.0,71648192520.0,95269494066.0,0.0,0.0,2800644037.0,247539190217.0,0.0,1566363714.0
2007,Kab,Aceh Tenggara,17785647561.0,52301829428.0,8304973129.0,104755425648.0,5605524509.0,155264256252.0,94639113046.0,26823410386.0,226051.0,0.0,66185342813.0,150674517387.0,2358388942.0,0.0,2349107985.0,363800802674.0,0.0,1995388541.0
2008,Kab,Aceh Tenggara,24278754018.73,54798049961.0,8687339376.8,99285250777.33,4663744299.8,146446522557.02,105995187318.0,32430925235.18,0.0,0.0,35144046767.0,175665721894.0,3500296421.42,0.0,7484571805.95,358845841244.0,0.0,2543860695.98
2010,Kab,Aceh Tenggara,20614029333.0,91578493422.0,7946159724.0,146512856810.0,6952644953.0,181972433485.0,73066766726.0,42752951763.0,340570.0,0.0,70897002257.0,249791875920.0,4659496821.0,0.0,4445185111.0,485334138325.0,0.0,2523898212.0
2011,Kab,Aceh Tenggara,22707171055.0,121008134211.0,10271202687.0,176434834779.0,6694720917.0,192215417578.0,103447765793.0,49351613042.0,410669.0,0.0,72599786850.0,277827871198.0,7886186598.0,0.0,6927145537.0,574883558052.0,0.0,2620673040.0
2012,Kab,Aceh Tenggara,27109755860.0,62505004184.0,5215864142.0,191831440219.0,6971040062.0,172520900152.0,71282983595.0,61577683196.0,417686.0,0.0,53673012221.0,346136000000.0,8666507075.0,0.0,9934077008.0,533597000000.0,0.0,2565064903.0
2001,Kab,Aceh Timur,27178738489.0,67609476333.0,8558123404.0,97465426076.0,993326844.0,0.0,61365880460.0,24945423519.0,0.0,22875621363.0,20540418201.0,140144813295.0,1642824731.0,4972763276.0,14313317925.0,289660588289.0,0.0,259660000.0
2006,Kab,Aceh Timur,23434748875.0,81574937651.0,6795507767.0,84880168115.0,18068782490.0,0.0,63610812649.0,25481152791.0,262353.0,0.0,58212957167.0,173002567329.0,0.0,0.0,0.0,376401274796.0,0.0,0.0
2008,Kab,Aceh Timur,21955692825.88,118652807080.0,3985337081.35,114580784053.95,15041409200.42,236869543857.51,99325154379.0,45662886497.18,0.0,0.0,36011861115.0,277259903468.0,7089697600.51,0.0,2501540287.24,626405870319.0,0.0,0.0
2010,Kab,Aceh Timur,0.0,114033675966.0,0.0,0.0,0.0,259761673033.0,114967671348.0,0.0,471485.0,0.0,32693813442.0,396829678988.0,0.0,0.0,0.0,658524839744.0,0.0,0.0
2011,Kab,Aceh Timur,0.0,103462551495.0,0.0,0.0,0.0,267711608253.0,128286069856.0,0.0,436000.0,0.0,39911666598.0,432156671889.0,0.0,0.0,0.0,703816959838.0,0.0,0.0
2012,Kab,Aceh Timur,43959985461.0,101194000000.0,7154569808.0,261824168687.0,42535106776.0,227507043902.0,108086000000.0,71676291218.0,518963.0,2043210731.0,30722000000.0,492204000000.0,13059154890.0,0.0,5446399858.0,732206000000.0,0.0,0.0
2001,Kab,Aceh Utara,53721161587.0,155412154681.0,21778768619.0,43964332765.0,3896757534.0,0.0,105023654637.0,27967592215.0,0.0,36330114354.0,18822442313.0,162192045727.0,4504896150.0,13295792150.0,0.0,441450297359.0,0.0,828047600.0
2002,Kab,Aceh Utara,27843961447.0,203995076203.0,14727732392.0,165908990997.0,23344768906.0,0.0,133391364035.0,38789442231.0,0.0,40130074073.0,17794428012.0,201436447953.0,2130566707.0,50718266855.0,14457979501.0,556617316203.0,0.0,1117217323.0
2003,Kab,Aceh Utara,40036057439.0,186863195349.0,16164287268.0,159018255574.0,4685478389.0,0.0,219598812194.0,39876696556.0,173330.0,7516204556.0,33003339669.0,225627057096.0,0.0,0.0,59852369989.0,665092404308.0,0.0,1735724799.0
2004,Kab,Aceh Utara,28584482911.0,143868822535.0,10976008232.0,167994748821.0,4066274462.0,0.0,278693525981.0,33296267459.0,151538.0,127413885872.0,40626148248.0,270441237494.0,0.0,0.0,44114642334.0,733629734258.0,0.0,2716766671.0
2005,Kab,Aceh Utara,26803612460.0,192107319470.0,11020633954.0,196181493793.0,3632043689.0,0.0,214234971393.0,39564452107.0,0.0,0.0,18343964740.0,266016976883.0,0.0,0.0,0.0,690703232486.0,0.0,2587810730.0
2006,Kab,Aceh Utara,33590630150.0,276113329810.0,8620952408.0,257871471344.0,6289756141.0,0.0,262957165424.0,49285688462.0,211067.0,0.0,36056234022.0,310910693222.0,0.0,0.0,0.0,886037422478.0,0.0,17314339133.0
2007,Kab,Aceh Utara,57989200263.0,277139137780.0,10239805553.0,141847537346.0,8383507514.0,502343528789.0,167953446257.0,69830803645.0,258462.0,136129900.0,123377702160.0,415770752543.0,5028850507.0,0.0,3369283600.0,984241038740.0,0.0,5396146653.0
2008,Kab,Aceh Utara,51057709254.16,396351513853.0,12163515495.46,312636070093.91,11700232956.3,456167062467.57,220685001678.0,95085809475.6,0.0,124250658.82,138776556382.0,592904707146.0,8921537392.77,0.0,4800170131.5,1337882487803.0,0.0,6059479500.39
2009,Kab,Aceh Utara,63371195976.0,570368230880.0,15625825977.0,344073853347.0,13009622190.0,435936354127.0,258321167735.0,115249208326.0,332029.0,3774702155.0,99244043365.0,712549230748.0,48652067163.0,0.0,15214810500.0,1640482672728.0,0.0,5372900310.0
2010,Kab,Aceh Utara,34844254754.0,131950077105.0,9472755352.0,314544533164.0,9163272736.0,263435366896.0,108356387045.0,88447776128.0,361086.0,1535684197.0,37741415295.0,590233656817.0,8071537775.0,0.0,5669112811.0,868281536262.0,0.0,0.0
2011,Kab,Aceh Utara,39226643680.0,236823362987.0,6700477991.0,449595329179.0,9321583441.0,336229761003.0,175038382551.0,109365959841.0,430944.0,3938369490.0,105628301842.0,647994531570.0,12212100034.0,0.0,5465605234.0,1165484578950.0,0.0,0.0
2012,Kab,Aceh Utara,59521856456.0,185820000000.0,10673224459.0,452152424670.0,24067439515.0,381043693885.0,223718000000.0,142757524208.0,448823.0,9652797666.0,119618886414.0,723083113586.0,13906744059.0,0.0,8095452617.0,1252240000000.0,0.0,1575361494.0
2001,Kab,Agam,4107993710.0,25081871660.0,2612641723.0,91693460603.0,631060564.0,26495485230.0,16876036301.0,8552595215.0,156109.0,4489454536.0,8502566207.0,112612200755.0,90745000.0,319540000.0,1870474811.0,163072674923.0,0.0,498513937.0
2002,Kab,Agam,4781112143.0,33158139593.0,3261393150.0,97462308710.0,1703670904.0,35562312842.0,24697461125.0,11451303629.0,196116.0,15202694189.0,12484784461.0,121108360483.0,355050998.0,539976350.0,136792500.0,191448745661.0,0.0,821834497.0
2003,Kab,Agam,7298911966.0,38131978817.0,2183169477.0,121651049713.0,0.0,52790000940.0,46652346997.0,17472196375.0,178021.0,0.0,16043359174.0,146794217910.0,0.0,0.0,1160995327.0,247621902898.0,0.0,0.0
2004,Kab,Agam,10512165063.0,17528491489.0,5095480576.0,134993445039.0,515161278.0,55437727546.0,49764431422.0,18013668614.0,196520.0,0.0,17448174851.0,168652681577.0,0.0,0.0,1391392742.0,253393779339.0,0.0,330759623.0
2005,Kab,Agam,9786525938.0,14721925618.0,4887812206.0,137562018413.0,1166909974.0,59203547078.0,46865772945.0,20381348177.0,207068.0,0.0,18894722391.0,175459823640.0,0.0,0.0,1417233827.0,255942244594.0,0.0,1762773744.0
2006,Kab,Agam,15796419723.0,38491744990.0,8259702263.0,166567887772.0,2587459392.0,80413699123.0,84134120306.0,31624944235.0,260393.0,0.0,21755066461.0,207767371174.0,0.0,0.0,6317728793.0,352148302931.0,0.0,2725866300.0
2007,Kab,Agam,20273152411.0,106268041955.0,10229755264.0,222635069029.0,3088060317.0,107665832202.0,72916884359.0,43264516452.0,295818.0,0.0,35152204674.0,268705390060.0,4741009054.0,0.0,10677406032.0,483042521048.0,0.0,3025444098.0
2009,Kab,Agam,25705263097.0,179388949722.0,3110374164.0,316784756172.0,7369111404.0,141365859648.0,63906560427.0,55508489119.0,378097.0,0.0,68128071765.0,390619113247.0,7929370696.0,0.0,7757324046.0,702042695161.0,0.0,1620846638.0
2010,Kab,Agam,29776542275.0,44458061395.0,2213434699.0,318042641279.0,4618942081.0,136490471326.0,62165495105.0,55572432678.0,421522.0,0.0,54661020561.0,433318937956.0,6230147911.0,0.0,6200591568.0,594603515017.0,0.0,1829590871.0
2011,Kab,Agam,25889879784.0,85773795222.0,3036641167.0,460417686133.0,5035963457.0,136860408878.0,96506292543.0,69626118993.0,512196.0,0.0,39555147591.0,550252778999.0,5981402314.0,0.0,8392168997.0,772088014355.0,0.0,2401709938.0
2012,Kab,Agam,35031085111.0,87372216398.0,3828030660.0,487477164918.0,6773766781.0,151487150249.0,103789000000.0,77002519417.0,624693.0,0.0,35370882893.0,606196000000.0,8634607681.0,0.0,10454513608.0,832728099291.0,0.0,3120435364.0
2001,Kab,Alor,8157845264.0,16726564131.0,1835993348.0,41280048223.0,4641633091.0,32133914556.0,22776864621.0,9060394004.0,84896.0,6085717597.0,2199773062.0,68481712718.0,823043024.0,40000000.0,621270066.0,110184914533.0,0.0,160005000.0
2002,Kab,Alor,8488447173.0,31831747962.0,2979795521.0,45387924549.0,9431616084.0,38390721860.0,35611270721.0,11097153345.0,94828.0,12980626582.0,4617265350.0,71706248137.0,465757500.0,263100000.0,1243493002.0,143766532170.0,0.0,538224000.0
